Game,Total_Sales,Copies,Publisher,Year,Console,JP_Sales,NA_Sales,Other_Sales,EU_Sales,User_Score,Critic_Score
Duck Hunt,,28.31,Nintendo,1985,NES,,,,,,
Naruto: Ultimate Ninja,,28.11,Bandai Namco Entertainment,2006,Series,,,,,,
RollerCoaster Tycoon 3,,10,Atari,2004,PC,,,,,,8.3
Wii Play,,28.02,Nintendo,2007,Wii,,,,,4.5,5.9
Devil May Cry,,28,Capcom,2001,Series,,,,,,
Farming Simulator,,28,Astragon,2008,Series,,,,,,
Tales of,,27.75,Namco,1998,Series,,,,,,
Grand Theft Auto: San Andreas,,27.5,Rockstar Games,2004,All,,,,,,
Yoshi,,27.31,Nintendo,1992,Series,,,,,,
Portal,,27.03,Valve,2007,Series,,,,,,
Borderlands 2,,27,2K Games,2012,All,,,,,,
FIFA 18,,26.4,Electronic Arts,2017,All,,,,,,
Rayman,,26,Ubisoft,1995,Series,,,,,,
Pokémon Sword / Shield,,25.68,Nintendo,2019,NS,,,,,,
Super Mario Odyssey,,25.12,Nintendo,2017,NS,,,,,,9.9
Grand Theft Auto IV,,25,Rockstar Games,2008,All,,,,,,
Human: Fall Flat,,25,Curve Digital,2016,All,,,,,,
Tetris,,496.4,The Tetris Company,1988,Series,,,,,,
Puyo Puyo,,25,Sega,2002,Series,,,,,,
Tiger Woods PGA Tour,,25,EA Sports,1998,Series,,,,,,
Pokemon,,464.84,Nintendo,1998,Series,,,,,,
Call of Duty,,400,Activision,2003,Series,,,,,,
Batman: Arkham,,24.81,Warner Bros. Interactive Entertainment,2009,Series,,,,,,
Jikkyo Powerful Pro Yakyu,,24.4,Konami,1994,Series,,,,,,
Super Mario,,398.51,Nintendo,1983,Series,,,,,,
Kinect Adventures!,,24,Microsoft Game Studios,2010,X360,,,,,,6.7
Petz,,24,PF.Magic,1995,Series,,,,,,
Nintendogs,,23.96,Nintendo,2005,DS,,,,,,8.4
Grand Theft Auto,,395,Rockstar Games,1998,Series,,,,,,
FIFA,,325,EA Sports,1993,Series,,,,,,
Minecraft,,238,Mojang,2011,Series,,,,,,
Minecraft,,238,Mojang,2011,All,,,,,,
Lego,,203.22,Warner Bros. Interactive Entertainment,1997,Series,,,,,,
Assassin's Creed,,200,Ubisoft,2007,Series,,,,,,
Mario Kart DS,,23.6,Nintendo,2005,DS,,,,,9.4,9.1
Pokémon Gold / Silver Version,,23.1,Nintendo,2000,GB,,,,,,9.2
God of War (2018),,23,Sony Interactive Entertainment,2018,All,,,,,,
Terraria,,23,Re-Logic,2011,PC,,,,,,8.8
Call of Duty: Modern Warfare 2,,22.7,Activision,2009,All,,,,,,
The Sims,,200,Electronic Arts,2000,Series,,,,,,
Grand Theft Auto V,,175,Rockstar Games,2013,All,,,,,,
Mario Kart,,173.41,Nintendo,1992,Series,,,,,,
Final Fantasy,,173.2,Square,1987,Series,,,,,,
Wii Fit,,22.67,Nintendo,2008,Wii,,,,,,7.9
Luigi's Mansion,,22.24,Nintendo,2001,Series,,,,,,
Need for Speed,,150,Electronic Arts,1994,Series,,,,,,
Tomb Raider,,141,Eidos Interactive,1996,Series,,,,,,
Resident Evil,,135,Capcom,1996,Series,,,,,,
Madden NFL,,130,Electronic Arts,1988,Series,,,,,,
NBA 2K,,130,2K Games,1999,Series,,,,,,
The Legend of Zelda,,125.31,Nintendo,1987,Series,,,,,,
Wii/Nintendo Sports,,124.65,Nintendo,2006,Series,,,,,,
Pro Evolution Soccer/eFootball,,112.5,Konami,1995,Series,,,,,,
Sonic the Hedgehog,,95.41,Sega,1991,Series,,,,,,
Monster Hunter,,90.3,Capcom,2004,Series,,,,,,
Gran Turismo,,90,Sony Interactive Entertainment,1998,Series,,,,,,
Dragon Quest,,85,Square,1986,Series,,,,,,
Wii Sports,,82.9,Nintendo,2006,Wii,,,,,,7.7
Halo,,81,Microsoft Game Studios,2001,Series,,,,,,
Battlefield,,78.9,Electronic Arts,2002,Series,,,,,,
Borderlands,,78,2K Games,2009,Series,,,,,,
Animal Crossing,,76.46,Nintendo,2002,Series,,,,,,
PUBG,,75,PUBG Corporation,2017,Series,,,,,,
Worms,,75,Team17,1995,Series,,,,,,
Mortal Kombat,,73,Warner Bros. Interactive Entertainment,1992,Series,,,,,,
Super Smash Bros.,,71.73,Nintendo,1999,Series,,,,,,
Mario Party,,70.09,Nintendo,1999,Series,,,,,,
