Game,Publisher,Critic_Score,User_Score,Copies,Total_Sales,Year,Genre
Critical Depth,GT Interactive,,,,0.23,1997,Action
The Holy Bible,Crave Entertainment,,,,,2006,Adventure
Doukyuusei,NEC,,,,0.14,1995,Adventure
Ancient Conquest,DreamCatcher Interactive,,,,,1999,Strategy
CT Special Forces,Hip Interactive,5.9,,,0.03,2004,Action
Lyrical Mint,Untouchable,,,,,2002,Adventure
Discolight,Kaasa Solution,,,,,2010,Misc
Gun Loco,Unknown,,,,,2020,Shooter
Maboroshi Tsukiyo,Sims,,,,,1999,Misc
Skwug,Microsoft,,,,,2009,Platform
Yamasa Digi World 3,Yamasa Entertainment,,,,,2002,Misc
Akazukin Cha Cha: Osawagase Panic Race,NEC Interchannel,,,,,1996,Misc
Me & My Pets 3D,Silver Fox Media,,,,,2014,Simulation
PuraMai Wars V,Unknown,,,,0.02,2016,Action
Demon's Winter,SSI,,,,,1986,Role-Playing
Wizardry II: Llygamyn no Isan,ASCII Entertainment,,,,,2001,Role-Playing
Hello Kitty: Birthday Adventures,Zoo Games,,,,0.18,2010,Adventure
Shining Blood,Microsoft,,,,,2009,Shooter
WipEout XL,Sony Computer Entertainment,8.8,,,0.25,1996,Racing
Shattered Union,2K Games,,,,0.04,2005,Strategy
Invizimals: Shadow Zone,Sony Computer Entertainment,,,,0.3,2011,Strategy
Columns GB: Tezuka Osamu Characters,Media Factory,,,,,1999,Puzzle
Moho,Take-Two Interactive,,,,,2000,Action
Tom Clancy's Rainbow Six: Vegas 2,Ubisoft,8.2,,,2.42,2008,Shooter
Paper Mario: Color Splash,Nintendo,7.4,6.4,,0.87,2016,Action-Adventure
Cube,D3 Publisher,,,,0.02,2007,Puzzle
Annet Futatabi,Wolf Team,,,,,1993,Action
The Legend of Heroes: Trails in the Sky First Chapter,Kadokawa Shoten,,,,0.08,2015,Role-Playing
Nanatsu no Hikan: Senritsu no Bishou,KOEI,,,,,2000,Adventure
Energy Chain,Genterprise,,,,,2009,Puzzle
WWE All Stars,THQ,7,,,0.23,2011,Action
100 Doors Brain Teasers,Unknown,,,,,2014,Action
Sacred 3,Deep Silver,,,,0.11,2014,Role-Playing
Walt Disney Pictures Presents Enchanted: Once Upon Andalasia,Disney Interactive Studios,,,,,2007,Platform
Gakken Hangul-Go Sanmai DS: Kiki-Tore & Shoki-Tore,Gakken,,,,,2011,Misc
The Princess and the Frog,Disney Interactive Studios,,,,0.62,2009,Platform
Hagane no Oni: Kidou Hohei vs. Onna Ninja Gundan,Unknown,,,,,1999,Adventure
Insurgency,NEW WORLD,,,,,2014,Misc
Wooden Sen'SeY,Neko Entertainment,,,,,2014,Action
NERF Arena Blast,Atari,,,,,1999,Shooter
Yu-Gi-Oh! 5D's: Duel Transer,Konami,,,,0.16,2010,Strategy
Nushi Tsuri 64,Pack In Soft,,,,,1998,Sports
Wallace & Gromit's Grand Adventures Episode 3: Muzzled!,Telltale Games,8,,,,2009,Adventure
Hulu,Hulu,,,,,2017,Misc
Quake Mission Pack No. 2: Dissolution of Eternity,Activision,,,,,1997,Shooter
Hoard,Big Sandwich Games,7.5,,0.24,,2011,Strategy
Asonde Igo ga Sara ni Tsuyoku naru!! Ginsei Igo DS Chuukyuuhen,Electronic Arts,,,,,2009,Misc
Black & White,Electronic Arts,9.3,,2.5,,2001,Strategy
Mortal Kombat: Tournament Edition,Midway Games,,,,0.01,2003,Fighting
Gardening Mama,Majesco,6.6,,,1.36,2009,Puzzle
radiangames Ballistic,Microsoft,,,,,2011,Shooter
Battlefield 1942: The Road to Rome,Electronic Arts,8.3,,0.64,,2003,Shooter
Pocket Rurubu Yokohama,Nintendo,,,,,2009,Misc
Track & Field II,Konami,,,,,1989,Sports
Rapala: We Fish,Activision,,,,0.57,2009,Sports
Hello Kitty: Big City Dreams,Empire Interactive,,,,0.53,2008,Puzzle
Tozasarata Tachi,3DO,,,,,1995,Action
Looney Tunes: Carrot Crazy,Infogrames,,,,,1999,Platform
Trump Collection,Bottom Up,,,,,1999,Misc
Warrior of Rome II,Micronet,,,,,1992,Strategy
Soltrio Solitaire,Silver Creek Entertainment,,,,,2007,Misc
Best of Solitaire,Cosmigo,,,,,2011,Misc
Turrican,Ballistic,,,,,1991,Platform
Gretzky NHL 2005,Sony Computer Entertainment,,,,0.17,2004,Sports
Battlecorps,Time Warner Interactive,,,,,1993,Shooter
Etrian Odyssey V: Beyond the Myth,Atlus,7.9,,,0.27,2017,Role-Playing
Momotaro Dentetsu,Hudson Soft,,,15.5,,1988,Board Game
SUGURI,Rockin' Android,,,,,2014,Action
Line of Fire,Sega,,,,,1991,Shooter
Buster Ball,Riverhillsoft,,,,,1992,Action
Assassin's Creed The Ezio Collection,Ubisoft,,,,0.79,2016,Action
Final Fantasy X-2: International + Last Mission,Square Enix,,,,0.29,2004,Role-Playing
The Settlers III: Quest of the Amazons,Blue Byte,,,,,1998,Strategy
Super Double Yakuman II,Vap,,,,,1997,Misc
Alice - Behind the Mirror full - A Hidden Object Adventure,Anuman,,,,,2014,Misc
XMAS Taxi,Microsoft,,,,,2009,Racing
M1 Tank Platoon,Microprose,,,,,1989,Simulation
Top Gear Hyper-Bike,Kemco,,,,0.06,2000,Racing
Juujimoto Ripputai Sypher Portable,Abel,,,,0,2009,Adventure
"Medieval Lords: Build, Defend, Expand",O3 Entertainment,,,,0,2005,Strategy
Gakken Mu Henshuubu Kanshuu: Choujou Genshou Research File,Global A Entertainment,,,,,2008,Misc
Hover Force,INTV Corporation,,,,,1986,Shooter
Frenzic,Two Tribes,,,,,2010,Puzzle
John Wick Hex,Good Shepherd Entertainment,,,,,2019,Strategy
Pussy: Love Story from Titanic,Unknown,,,,,1999,Strategy
Sonic Boom: Rise of Lyric,Sega,3.7,,,0.31,2014,Action-Adventure
Oubunsha Deru-Jun: Sansuu DS,IE Institute,,,,,2007,Misc
No Time to Explain,TinyBuild Games,,,,,2015,Action
Garouden Breakblow,ESP,,,,,2005,Fighting
Keroro RPG: Kishi to Musha to Densetsu no Kaizoku,Namco Bandai,,,,0.07,2010,Role-Playing
Ouma ga Toki,Victor Interactive,,,,,2001,Misc
Castlevania:  Symphony of the Night,Konami,9.3,,,,2007,Platform
Sub Scan,Sega,,,,,1982,Action
Jillian Michaels Fitness Ultimatum 2010,Majesco,,,,0.56,2009,Sports
Risk,Hasbro Interactive,,,,,1998,Strategy
Mobile Suit Gundam Seed: Tomo to Kimi to Koko de,Bandai,,,,,2004,Action
Tony Hawk's Shred Session,Activision,,,,,2014,Misc
Dr. Slump & Arale-Chan,Namco Bandai,,,,0.01,2008,Adventure
TrackMania² Valley,Ubisoft,,,,,2013,Racing
Powerbike,Majesco,,,,0.02,2009,Racing
Ben 10: Alien Force,D3 Publisher,,,,0.95,2008,Action
Ninja Gaiden: Dragon Sword,Tecmo,8,,0.34,,2008,Action
The Legend of Heroes I & II: Eiyuu Densetsu,GMF,,,,,1998,Role-Playing
The Dwarves,THQ Nordic,,,,0.03,2016,Role-Playing
Crackout,Palcom,,,,,1991,Action
Onmyou Taisenki: Byakko Enbu,Bandai,,,,,2005,Action
My SAT Coach with The Princeton Review,Ubisoft,,,,0.11,2008,Misc
Trine 3: The Artifacts of Power,Frozenbyte,,,0.39,,2015,Action-Adventure
Gears of War Twin Pack,Microsoft Game Studios,,,,,2009,Shooter
Super Heroine Chronicle,Namco Bandai Games,,,,0.05,2014,Misc
Otona no Nihonshi Puzzle,IE Institute,,,,,2010,Puzzle
Exhibition,Microsoft,,,,0.25,2002,Misc
Dora the Explorer: Dance to the Rescue,Atari,,,,0,2005,Action
Chime Super Deluxe,Unknown,7.6,,,,2011,Puzzle
The Animals!,Software Toolworks,,,,,1993,Misc
Bishoujo Senshi Sailormoon: Another Story,Angel Studios,,,,,1995,Role-Playing
FreeCell.,Virtual Playground,,,,,2013,Misc
Tilt!,Virgin Interactive,,,,,1997,Misc
P.N.03 - Product Number Three,Capcom,6.3,,,0.08,2003,Shooter
Winning Post 9 2022,Koei Tecmo,,,0.1,,2022,Simulation
My Country: build your dream city,"Game Insight, LLC",,,,,2012,Misc
Fabulous - Angelas High School Reunion,Focus on the Family,,,,,2017,Action
Super Wing Commander,Electronic Arts,,,,,1994,Simulation
Tennis no Oji-Sama: Saikyou Team o Kessei Seyo!,Konami,,,,,2004,Sports
Rock of the Dead,Conspiracy Entertainment,,,,0.05,2010,Shooter
Fever 3: Sankyo Koushiki Pachinko Simulation,ICS,,,,,2000,Misc
Robot Rescue 2,Teyon Entertainment,,,,,2012,Misc
Jack Orlando: A Cinematic Adventure,JoWood Productions,,,,,2001,Adventure
The Jackbox Party Pack 5,Jackbox Games,,,,,2018,Party
Viper Racing,Sierra Entertainment,,10,,,1998,Racing
Splatterhouse,Namco Bandai,,,,0.18,2010,Action
Chikyuu Kaihou Gun ZAS,T&E Soft,,,,,1992,Shooter
Gothic II,Atari,8,,0.2,,2003,Role-Playing
Oscar's World Tour,Virtual Playground,,,,,2011,Platform
World Cup Golf: Hyatt Dorado Beach,U.S. Gold,,,,,1994,Sports
Hoshi de Hakken!! Tamagotchi,Bandai,,,,,1998,Simulation
Bloodborne,Sony Computer Entertainment,8.2,,2,,2015,Role-Playing
Mega Man Zero,Capcom,,,,0.55,2002,Platform
Disney's Talespin,Sega,,,,,1993,Action
Full Spectrum Warrior: Ten Hammers,THQ,5.5,,,0.07,2006,Strategy
DRiiFT Mania,Konami,,,,,2009,Racing
Combat of Giants: Dinosaurs 3D,Ubisoft,4.3,,,0.39,2011,Strategy
Casper,Natsume,,,,,1996,Action
Airwolf,Acclaim Entertainment,,,,,1989,Action
The Next Tetris,Atari,,,,0.81,1999,Puzzle
Disney's Bonkers: Wax Up!,Sega,,,,,1995,Platform
DROD: The City Beneath,Caravel Games,,,,,2007,Puzzle
Sly Cooper: Thieves in Time,Sony Computer Entertainment America,,,,0.27,2013,Misc
Road Rash 64,THQ,,,,0.24,1999,Racing
Dead to Rights,Namco,,,,1.36,2002,Shooter
Super Hydlide,Seismic,,,,,1989,Role-Playing
World Tour Soccer 2003,Sony Computer Entertainment,,,,0.14,2003,Sports
"Saiyuuki: Kinkaku, Ginkaku no Inbou",D3 Publisher,,,,0.09,2007,Role-Playing
Zombii Attack,Unknown,,,,,2020,Action
Tales of Vesperia,Namco Bandai Games,,,2.88,,2008,Role-Playing
The Pinball Arcade,FarSight Studios,,,,,2013,Misc
AquaPazza: AquaPlus Dream Match,Aqua Plus,,,,,2011,Misc
Simple 1500 Jitsuyou Series Vol. 16: Neko no Kaikata,D3 Publisher,,,,,2002,Misc
Gem Quest: 4 Elements,Storm City Games,,,,0.11,2011,Puzzle
Link 'n' Launch,Nintendo,,,,,2010,Puzzle
Call of Duty: Modern Warfare Trilogy,Activision,,,,0.18,2016,Shooter
Slime Rancher 2,Monomi Park,,,0.3,,2022,Simulation
Kirby Super Star Ultra,Nintendo,7.3,,2.99,,2008,Platform
Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,ChunSoft,,,,0.27,1996,Role-Playing
NCAA Football,Mindscape,,,,,1994,Sports
SkyHammer,Songbird Productions,,,,,2000,Shooter
Tropico 4: Modern Times,Kalypso Media,,,,0.02,2012,Strategy
Ide Yousuke no Kenkuo Mahjong DSi,Nintendo,,,,,2009,Puzzle
Call of the Sea,Raw Fury,,,,,2020,Adventure
The Cheetah Girls: Pop Star Sensations,Disney Interactive Studios,,,,0.11,2007,Misc
Beethoven,Hi Tech Expressions,,,,,1994,Action
Monkey Island 2 Special Edition: LeChuck’s Revenge,LucasArts,,,,,2010,Adventure
WWII: Battle Over The Pacific,Midas Interactive Entertainment,,,,,2006,Simulation
SOL DIVIDE: Sword of Darkness,Zerodiv,,,,,2018,Action
Mobile Suit Gundam Seed Destiny,Bandai,,,,,2004,Fighting
Weapon Shop de Omasse,Level 5,5.6,,,,2014,Role-Playing
Pizza Morgana,Unknown,,,,,2009,Adventure
Game Created by a 5th Grader,Microsoft,,,,,2009,Action
Neverwinter Nights: Enhanced Edition,Beamdog,,,,,2019,Role-Playing
Metal Gear Solid V: The Definitive Experience,Konami Digital Entertainment,,,,0.29,2016,Action
Monster Mayhem: Build and Battle,Crave Entertainment,,,,0.03,2009,Simulation
Outlaw,Atari,,,,,1978,Action
Dynasty Warriors 7 - Stage Pack 2,KOEI,,,,,2011,Action
Hot Shots Golf Fore!,Sony Computer Entertainment,,,,1.72,2004,Sports
Crumpets,Bulkypix,,,,,2014,Action
Need for Speed: Shift - Ferrari Racing Series,Electronic Arts,,,,,2010,Racing
Bashi Blocks,Unknown,,,,,2011,Puzzle
Divinity II: Ego Draconis,CDV Software Entertainment,6,,,0.24,2010,Role-Playing
Virtua Cop Special Pack,Sega,,,,,1998,Shooter
Maken X,Atlus,7.9,,,,1999,Adventure
Jojo's Fashion Show: Design in a Dash!,Ubisoft,,,,0.04,2009,Simulation
Starlight Inception,Unknown,,,,,2014,Misc
Phantom Rose,Studio Maka,,,,,2019,Strategy
Trip World,Sunsoft,,,,,2011,Platform
Otome wa Oanesama Boku ni Koi Shiteru Portable,Alchemist,,,,0.02,2010,Adventure
"Run, Jesus Run!",Unknown,,,,,2010,Action
Enzai - Falsely Accused - eine falsche Beschuldi-gung,Jast,,,,,2006,Misc
Battle Garegga Rev.2016,M2,,,,0.01,2016,Strategy
Santa Claus is Comin' to Town!,Crave Entertainment,,,,0.06,2011,Puzzle
Sei Oni,Unknown,,,,,1997,Adventure
Blockade Runner,Interphase,,,,,1983,Shooter
Time of Shadows,Take-Two Interactive,,,,0,2009,Role-Playing
Asterix and the Great Rescue,Sega,,,,,1993,Platform
Harvest Moon 3 GBC,Natsume,,,,,2001,Simulation
Daisenryaku VII Exceed,System Soft,,,,0,2008,Strategy
Monster Hunter Double Cross,Capcom,,,1.8,,2017,Action
Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,Konami,,,,0.08,2011,Sports
Marathon 2: Durandal,Bungie Software,,,,,1995,Shooter
Toaru Majutsu to Kagaku no Ensemble,Namco Bandai Games,,,,0.03,2013,Visual Novel
Odallus: The Dark Call,Digerati,,,,,2019,Action-Adventure
Tom Clancy's Rainbow Six: Rogue Spear,Ubisoft,,,,0.11,2002,Shooter
Kawaii Koinu DS 2,MTO,,,,0.01,2008,Simulation
Spin Pair,Media Rings,,,,,1990,Puzzle
Monkey Madness: Island Escape,Storm City Games,,,,0.01,2010,Action
Legend of Legaia,Sony Computer Entertainment,8.1,,,0.66,1999,Role-Playing
Sonic Free Riders,Sega,4.9,,,1.1,2010,Racing
Jikandia: The Timeless Land,Aksys Games,,,,,2011,Role-Playing
Eiyuu Senki: The World Conquest,Tenco,,,,,2012,Role-Playing
Zoids Dash,Tomy Corporation,,,,0.02,2006,Role-Playing
Killzone 2,Sony Computer Entertainment,9.1,9.3,1,,2009,Shooter
Moto Rodeo,Atari,,,,,1990,Action
Tales of Monkey Island Chapter 5: Rise of the Pirate God,Telltale Games,8.6,,,,2010,Adventure
Super Mario 3D World + Bowser's Fury,Nintendo,,,9.43,,2021,Platform
Slip,Unknown,,,,,2014,Misc
Secret Files: Tunguska,Deep Silver,,,,0.06,2010,Adventure
Ninja Gaiden II: The Dark Sword of Chaos,Tecmo,,,,,2007,Platform
Castlevania: Curse of Darkness,Konami,7.2,,,0.42,2005,Action
International Sensible Soccer,Telegames,,,,,1995,Sports
Super Bomberman 2,Hudson Soft,,,,0.81,1994,Puzzle
Forgotton Anne,Square Enix,,,,,2018,Action-Adventure
Active Life Explorer,Namco Bandai,,,,0.15,2010,Sports
Top Gear Pocket,Vatical Entertainment,,,,,1999,Racing
Tantei Opera Milky Holmes 1.5: Daishiwa - Adam no Namida,Unknown,,,,,2011,Adventure
UFO: Afterlight,TopWare,,,,0,2007,Strategy
Leisure Suit Larry 6: Shape Up or Slip Out!,Sierra Online,,,0.25,,1993,Adventure
Time Crisis: Crisis Zone,Namco,,,,0.22,2004,Shooter
Operation C,Ultra Games,,,,,1991,Shooter
ALF: The First Adventure,Unknown,,,,,1987,Action
Overlord: Minions,Codemasters,,,,0.07,2009,Puzzle
NHL Powerplay 98,Virgin Interactive,,,,0.05,1997,Sports
Nep League DS,Jaleco,,,,0.18,2007,Sports
Marvel Trading Card Game,Konami,,,,0.12,2007,Misc
Nizu no Senritsu Portable 2: Hi no Kioku,CyberFront,,,,0.01,2010,Adventure
Age of Mythology: Gold Edition,Microsoft Game Studios,,,,0.01,2004,Strategy
Light Fingers,Numizmatic,,,,,2018,Action
WWF WrestleMania,Acclaim Entertainment,,,,,1989,Fighting
Block Party,Activision,,,,0.15,2008,Misc
King's Quest IV: The Perils of Rosella,Sierra Online,,,0.1,,1988,Adventure
Surgeon Simulator,Bossa Studios,,,2,,2013,Misc
Heir of Zendor: The Legend of the Land,KOEI,,,,,1996,Strategy
Metal Gear Solid: The Essential Collection,Konami,9,,,0.46,2008,Adventure
Harvest Moon: The Land of Origin,Marvelous,,,,0.23,2012,Simulation
GB Genjin Land: Viva! Chikkun Oukoku,Hudson Soft,,,,,1994,Action
Sid Meier's Civilization V: Gods & Kings,2K Games,,,,,2012,Action
Dusty Diamond's All-Star Softball,Tonkin House,,,,,1990,Sports
Scene It? Lights Camera Action,Microsoft Game Studios,,,,0.48,2007,Misc
Bounty Swords First,Hamster Corporation,,,,,2011,Role-Playing
Fit Music,Electric Dreams Software,,,,,2012,Misc
Hot Wheels: Track Attack,THQ,,,,0.27,2010,Racing
Bleach: Soul Carnival,Sony Computer Entertainment,,,,0.05,2008,Fighting
Ore-Sama Kingdom: Koi no Manga mo Debut o Mokushise! Doki Doki Love Lesson,Bandai,,,,0.05,2011,Action
Trapt,Tecmo,,,,0.06,2005,Action
High Seas Havoc,Data East,,,,,1993,Action
Sonic the Hedgehog (X360),Sega,,,,,2009,Platform
Blaster Master Zero,Inti Creates,,,,,2017,Action
Paperbound,Unknown,,,,,2015,Misc
Mach Go Go Go,Tomy Corporation,,,,,1997,Racing
Bleach GC: Tasogare Ni Mamieru Shinigami,Sega,,,,0.09,2005,Fighting
Brunswick Pro Bowling,Crave Entertainment,,,,0.45,2010,Sports
The Enchanted Unicorn,Take-Two Interactive,,,,,2008,Adventure
RoadKill,Midway Games,,,,0.17,2003,Action
Imagine: Fashion Designer World Tour,Ubisoft,,,,0.29,2009,Simulation
Alien Monster Bowling League,Destineer,,,,0.09,2009,Sports
FIFA Soccer,EA Sports,,,,0.63,2012,Misc
Brain Exercise with Dr. Kawashima,Namco Bandai,,,,0.01,2009,Misc
Let's Make a Soccer Team!,Sega,,,,0.23,2006,Sports
Steam-Heart's,TGL,,,,,1996,Shooter
Space Invaders (Arcade),Taito,,,,,2009,Shooter
Quake II,Activision,,,1,,1997,Shooter
Lock's Quest,THQ,,,,0.09,2008,Strategy
Marionette Handler,Micronet,,,,,1999,Strategy
Cubivore: Survival of the Fittest,Atlus,7.1,,,0.17,2002,Adventure
Oscar's Trash Race,Atari,,,,,1983,Action
Turbo Turtle Adventure,Majesco,,,,0.05,2002,Puzzle
Renjuku Kanji Shougaku 6 Nensei,IE Institute,,,,,2010,Misc
Pizza Hut Demo Disc One,Sony Computer Entertainment,,,,,1999,Misc
Moke Moke,G-Style,,,,,2013,Misc
Lead the Meerkats,Lapland Studio,,,,,2010,Simulation
Garfield: The Search for Pooky,Game Factory,,,,0.04,2005,Platform
Hannah Montana: The Movie,Disney Interactive Studios,,,,0.7,2009,Adventure
Robo Army,SNK,,,,,1991,Action
Dark Shadows: Army of Evil,Burian Media Enterprises,,,,,2014,Misc
Dragon's Lair,Destineer,,,,0.02,2010,Adventure
Get Up and Dance,Crave Entertainment,,,,0.11,2011,Misc
Pro Evolution Soccer 2015,Konami Digital Entertainment,,,,0.59,2014,Sports
Parodius Portable,Konami,,,,,2007,Shooter
NHL 08,Electronic Arts,,,,0.25,2007,Action
Quest For Quintana Roo,Sunrise Interactive,,,,,1984,Action
America's Test Kitchen: Let's Get Cooking,Nintendo,8.5,,,0.27,2010,Simulation
Art of Fighting 3: The Path of the Warrior,SNK,,,,0.04,1996,Fighting
Ultra Bust-A-Move,Majesco,,,,0.05,2004,Puzzle
Date Warp,Fabio Ricci,,,,,2010,Misc
MotoGP 19,Milestone S.r.l.,,,,,2019,Racing
Hyper Light Drifter,Rebellion Games,,,0.6,,2016,Role-Playing
Tecmo Cup Soccer Game,Tecmo,,,,,1992,Sports
Frogger 2,Konami,,,,,2008,Action
One Piece: Ocean's Dream,Bandai,,,,,2003,Role-Playing
Street Fighter EX3,Capcom,,,,0.85,2000,Fighting
Megami Tensei Gaiden: Last Bible,Sega,,,,,1994,Role-Playing
Serious Sam HD: The First Encounter,Devolver Digital,6.9,,1.03,,2009,Shooter
Doorways: The Underworld,Unknown,,,,,2014,Adventure
Inoue Ryoko: Last Scene,Datam Polystar,,,,,2001,Strategy
Super Laser Racer,New Star Games,,,,,2010,Racing
A Vampyre Story,The Adventure Company,,,0.03,,2008,Adventure
Winning Post 7 2010,Tecmo Koei,,,,0.07,2010,Sports
John Madden Football,Electronic Arts,,,0.4,,1990,Sports
Who's That Flying?!,Mediatonic,7.7,,,,2010,Shooter
Space Trader: Merchant Marine,Meridian4,,,,,2008,Action
Dexter's Lab / Powerpuff Girls Bundle,BAM! Entertainment,,,,0,2003,Adventure
Car and Driver Presents: Grand Tour Racing '98,Activision,7,,,,1997,Racing
Cyber Cross,FACE,,,,,1989,Action
Snake Pass,Sumo Digital,,,,,2017,Puzzle
Shinseiki Evangelion Ayanami Ikusei Keikaku DS with Asuka Hokan Keikaku,Broccoli,,,,0.03,2008,Simulation
Scrapyard Dog,Atari,,,,,1991,Action
AGEOD's American Civil War: 1861-1865 - The Blue and the Gray,Take-Two Interactive,,,,0,2008,Strategy
Front Mission History,Square Enix,,,,,2003,Strategy
Fuuun! Dairoujou,Kawamoto Industrial,,,,,2009,Strategy
Tomb Raider: Anniversary,Eidos Interactive,,,,,2009,Action
Animal Crossing: Pocket Camp,Nintendo,,,,,2017,Simulation
Dr. MiniGames,StormBASIC,,,,,2010,Misc
Publisher Dream,CIRCLE Entertainment,,,,,2013,Misc
SimCity 2000,Maxis,,,3.4,,1993,Simulation
Onechanbara: Bikini Samurai Squad,D3 Publisher,,,,0.13,2009,Action
Gaist Crusher God,Capcom,,,,0.02,2014,Action
Armored Core: Formula Front Extreme Battle,Agetec,6.7,,,0.05,2005,Simulation
Dino Adventure,Oxygen Games,,,,,2015,Misc
Nihonshi DS,IE Institute,,,,,2009,Misc
Agatha Christie's The ABC Murders,Unfinished Pixel,,,,0.08,2016,Adventure
Duel Savior Justice,Giga,,,,,2005,Role-Playing
Gungrave VR,Xseed Games,,,,0.01,2018,Shooter
Falcon,Spectrum Holobyte,,,,,1987,Simulation
Kidou Senshi Gundam 00,Namco Bandai,,,,0.08,2008,Action
BurgerTime,Mattel Electronics,,,,,1983,Platform
B-17 Bomber,Mattel Electronics,,,,,1982,Shooter
Scholastic Dragon Tales: Learn & Fly With Dragons,Scholastic Inc.,,,,,2004,Misc
Vitamin X Evolution,D3 Publisher,,,,0.03,2008,Adventure
Quiz Daisousa Sen: The Last Count Down,SNK,,,,,1991,Misc
After Hours Athletes,Sony Computer Entertainment,,,,0.12,2011,Sports
NASCAR Racing: 1999 Edition,Sierra Entertainment,,,,,1998,Racing
The Bugs Bunny Crazy Castle 2,Kemco,,,,,1991,Platform
NASCAR 08,EA Sports,,,,0.29,2007,Racing
Ultimate I Spy,Scholastic Inc.,,,,0.48,2008,Adventure
F1 Circus MD,Nichibutsu,,,,,1991,Racing
Big Idea's VeggieTales: LarryBoy and the Bad Apple,Crave Entertainment,,,,0.02,2006,Action
Jet Force Gemini,Rare,8.1,,1.16,,1999,Shooter
Atari Anthology,Atari,,,,0.4,2004,Misc
Brawl,QubicGames,,,,,2018,Platform
Centre Court Tennis,Big Ben Interactive,,,,,1999,Sports
Sekai no Omoshiro Party Game 2,Sims,,,,,2010,Misc
Surfacer+,Lexis Numerique,,,,,2011,Puzzle
NHL 12,EA Sports,8.8,,,0.7,2011,Sports
Physics Sandbox 2,Microsoft,,,,,2010,Misc
Dino Dini's Soccer,Virgin Interactive,,,,,1994,Sports
Survivor Squad,Endless Loop Studios,,,0.12,,2013,Strategy
Tank Beat,O~3 Entertainment,,,,0.03,2007,Strategy
Plants vs Zombies: Garden Warfare,Electronic Arts,8,,,1.13,2014,Shooter
Sudden Strike III: Arms for Victory,Kalypso Media,,,,,2007,Strategy
My Home Dream,Victor Interactive,,,,,2010,Simulation
Disgaea 4: A Promise Unforgotten,NIS America,7.9,,,0.58,2011,Role-Playing
Prince of Persia: The Forgotten Sands,Ubisoft,,,,0.69,2010,Action
Nosgoth,Square Enix,,,,,2020,Action
Maximum Racing: Drag & Stock Racer,Unknown,,,,0.03,2011,Racing
Skylanders Imaginators,Activision,,,,0.45,2016,Platform
Final Fantasy XIV Online,Square Enix,5.3,,1.45,,2010,MMO
Casper: Spirit Dimensions,TDK Mediactive,,,,0.14,2001,Platform
Transworld Snowboarding,Atari,,,,0.09,2002,Sports
Tonfuso,Bandai,,,,,2001,Misc
Electroplankton: Varvoice,Nintendo,,,,,2009,Misc
Animal Planet: Vet Life,Activision,,,,0.11,2009,Simulation
Kekkaishi: Kokubourou Shuurai,Namco Bandai,,,,0.03,2008,Action
Arthur and the Invisibles,Atari,,,,0.03,2007,Adventure
Opoona,KOEI,6.4,,,0.1,2008,Role-Playing
Blade & Soul,NCSoft,,,,,2015,Misc
Esper Boukentai,Jaleco,,,,,1987,Platform
Etch A Sketch,Mumbo Jumbo,,,,,2008,Misc
ZEN Pinball,Zen Studios,8.3,,,,2009,Misc
Gakuen Pets: Houkago no Shiikusha,GokuFero,,,,,2008,Adventure
Wagyan Land 3,Namco,,,,,1992,Action
Sakura Wars: Atsuki Chishio Ni,Sega,,,,0.24,2003,Role-Playing
Clock Tower II: The Struggle Within,Agetec,4.4,,,0.17,1999,Adventure
